,text_agent,category_agent,sub-category_agent,speaker_customer,text_customer,clean _text_custumer,cleaned_text_of_custumer_for_clusters,cluster_for_custumer,clean_text_agent_corpus
34,is there an outstanding order?,shipping_issue,manage,customer,in transit,in transit,in transit,50,is there an outstanding order
35,or is this just an update to your account?,shipping_issue,manage,customer,"<username>, <email>",username email,username email,283,or is this just an update to your account
36,what is your name please?,shipping_issue,manage,customer,"9756 primrose street newark, mi <zip_code>",primrose street newark mi zip_code,primrose street newark mi zip_code,92,what is your name please
37,what is the shipping status of the order?,shipping_issue,manage,customer,thank you that is all,thank you that is all,thank you that is all,233,what is the shipping status of the order
38,next i need to validate your purchase. i will need your username and email.,shipping_issue,manage,customer,hello. i have a really cool party coming up. and i need some new clothes asap. i am thinking of ordering them to come by overnight shipping,hello i have a really cool party coming up and i need some new clothes asap i am thinking of ordering them to come by overnight shipping,hello i have a really cool party coming up and i need some new clothes asap i am thinking of ordering them to come by overnight shipping,154,next i need to validate your purchase i will need your username and email
39,thank you,shipping_issue,manage,customer,do you know how much that costs?,do you know how much that costs,do you know how much that costs,168,thank you
40,and the new address please?,shipping_issue,manage,customer,yes,yes,yes,183,and the new address please
41,all taken care of!,shipping_issue,manage,customer,like how much it costs,like how much it costs,like how much it costs,168,all taken care of
42,is there anything else today?,shipping_issue,manage,customer,i imagine that there is an extra fee,i imagine that there is an extra fee,i imagine that there is an extra fee,152,is there anything else today
43,have a great one!,shipping_issue,manage,customer,i want these clothes quickly,i want these clothes quickly,i want these clothes quickly,345,have a great one
44,"hello, how can i help you",storewide_query,pricing_3,customer,but i can't afford to pay too much,but i cant afford to pay too much,but i cant afford to pay too much,312,hello how can i help you
45,"you want to know how much overnight shipping is, correct?",storewide_query,pricing_3,customer,oh wow,oh wow,oh wow,84,you want to know how much overnight shipping is correct
46,the rate is for 39.99 for items 5 lbs or less. and <amount>.99 for items of 10 lbs or lesss and 69.99 for items over that.,storewide_query,pricing_3,customer,that's kind of expensive,thats kind of expensive,thats kind of expensive,65,the rate is for for items lbs or less and amount99 for items of lbs or lesss and for items over that
47,yes it is expensive.,storewide_query,pricing_3,customer,"okay, well that's good to know",okay well thats good to know,okay well thats good to know,341,yes it is expensive
48,but they will come fast.,storewide_query,pricing_3,customer,maybe i will just wear some old clothes to the party,maybe i will just wear some old clothes to the party,maybe i will just wear some old clothes to the party,330,but they will come fast
49,do you need anymore help?,storewide_query,pricing_3,customer,"no, that's it",no thats it,no thats it,227,do you need anymore help
50,okay have a great day!,storewide_query,pricing_3,customer,i just needed to know about the shipping,i just needed to know about the shipping,i just needed to know about the shipping,174,okay have a great day
51,hello! how can i help you today?,subscription_inquiry,manage_extension,customer,i want an extension for my shopping service.,i want an extension for my shopping service,i want an extension for my shopping service,344,hello how can i help you today
52,so you need to postpone payment for your subscription?,subscription_inquiry,manage_extension,customer,i need more time to get the money.,i need more time to get the money,i need more time to get the money,11,so you need to postpone payment for your subscription
53,can i have your full name and account id please,subscription_inquiry,manage_extension,customer,yes,yes,yes,183,can i have your full name and account id please
54,ok. i pulled up your account. now i need your order id please,subscription_inquiry,manage_extension,customer,chloe zhang,chloe zhang,chloe zhang,9,ok i pulled up your account now i need your order id please
55,are you a gold or silver member?,subscription_inquiry,manage_extension,customer,<account_id>,account_id,account_id,176,are you a gold or silver member
56,i can only extend your payment by one day.,subscription_inquiry,manage_extension,customer,<order_id>,order_id,order_id,3,i can only extend your payment by one day
57,ok. your extension is now reflected on your account.,subscription_inquiry,manage_extension,customer,silver,silver,silver,51,ok your extension is now reflected on your account
58,is there anything else i can help you with today?,subscription_inquiry,manage_extension,customer,okay,okay,okay,262,is there anything else i can help you with today
59,i hope you have a great day!,subscription_inquiry,manage_extension,customer,no,no,no,167,i hope you have a great day
60,hello how can i help you today?,account_access,recover_username,customer,"hello, i am trying to check the status of my order but i forgot my username and can't log in, can you help me with this?",hello i am trying to check the status of my order but i forgot my username and cant log in can you help me with this,hello i am trying to check the status of my order but i forgot my username and cant log in can you help me with this,419,hello how can i help you today
61,"alright, so you just need help recovering your username then?",account_access,recover_username,customer,"exactly, thank you",exactly thank you,exactly thank you,339,alright so you just need help recovering your username then
62,can i start with your full name or account id?,account_access,recover_username,customer,alessandro phoenix,alessandro phoenix,alessandro phoenix,28,can i start with your full name or account id
63,"alright the account is pulled up, can i also have 2 of the 3: zip code, phone number, email address?",account_access,recover_username,customer,sure it's <zip_code> and phone is 116-048-7515,sure its zip_code and phone is  048 7515,sure its zip_code and phone is  048 7515,224,alright the account is pulled up can i also have of the  zip code phone number email address
64,alright do you happen to have that email address?,account_access,recover_username,customer,<email>,email,email,43,alright do you happen to have that email address
65,"there we go, the phone number was giving errors on my end. thanks for that",account_access,recover_username,customer,no problem,no problem,no problem,416,there we go the phone number was giving errors on my end thanks for that
66,your username is aphoenix1,account_access,recover_username,customer,"thank you so much, have a good day",thank you so much have a good day,thank you so much have a good day,49,your username is aphoenix1
67,was there anything else i could help with?,account_access,recover_username,customer,hello,hello,hello,23,was there anything else i could help with
68,great have a good day,account_access,recover_username,customer,i am trying to buy a pair of boots but they aren't getting added to my cart.,i am trying to buy a pair of boots but they arent getting added to my cart,i am trying to buy a pair of boots but they arent getting added to my cart,116,great have a good day
69,hello! how can i help you today?,troubleshoot_site,shopping_cart,customer,"joseph banter, i don't have my account number but my username is <username>",joseph banter i dont have my account number but my username is username,joseph banter i dont have my account number but my username is username,392,hello how can i help you today
70,"okay, i should be able to help you with that. one moment please...",troubleshoot_site,shopping_cart,customer,calvin klein boots,calvin klein boots,calvin klein boots,60,okay i should be able to help you with that one moment please
71,"can i get your name and account number first, please?",troubleshoot_site,shopping_cart,customer,no problem,no problem,no problem,416,can i get your name and account number first please
72,"okay, that's fine. can you tell me the name of the product you had trouble with?",troubleshoot_site,shopping_cart,customer,"sure, one moment",sure one moment,sure one moment,185,okay thats fine can you tell me the name of the product you had trouble with
73,"i'm sorry, joseph. please stay with me here...",troubleshoot_site,shopping_cart,customer,"that didn't work, sorry",that didnt work sorry,that didnt work sorry,321,im sorry joseph please stay with me here
74,"can i have you try refreshing the page, and then trying to put the boots in the cart again?",troubleshoot_site,shopping_cart,customer,"ok, let's try",ok lets try,ok lets try,16,can i have you try refreshing the page and then trying to put the boots in the cart again
75,"alright. how about if you try logging out of your account, and then back in.",troubleshoot_site,shopping_cart,customer,"that seemed to do the trick, thank you!",that seemed to do the trick thank you,that seemed to do the trick thank you,360,alright how about if you try logging out of your account and then back in
76,great! is there anything else i can help you with?,troubleshoot_site,shopping_cart,customer,"that was all, thanks again.",that was all thanks again,that was all thanks again,233,great is there anything else i can help you with
77,"have a great day, joseph. goodbye!",troubleshoot_site,shopping_cart,customer,i accidently ordered the wrong item and was wondering if i can change the item,i accidently ordered the wrong item and was wondering if i can change the item,i accidently ordered the wrong item and was wondering if i can change the item,272,have a great day joseph goodbye
78,thank you for contacting acme brands! how can i help you today?,shipping_issue,manage,customer,norman bouchard,norman bouchard,norman bouchard,36,thank you for contacting acme brands how can i help you today
79,i can check to see if we can make the adjust to your order. can i have your name or account id?,shipping_issue,manage,customer,account id: <account_id>,account id account_id,account id account_id,7,i can check to see if we can make the adjust to your order can i have your name or account id
80,thank you. you need to both remove an item and add a different item to your order?,shipping_issue,manage,customer,i think at this point i'd rather just cancel the order,i think at this point id rather just cancel the order,i think at this point id rather just cancel the order,171,thank you you need to both remove an item and add a different item to your order
81,okay. which is your order id number?,shipping_issue,manage,customer,order id: <order_id>,order id order_id,order id order_id,124,okay which is your order id number
82,what is the shipping status of your order?,shipping_issue,manage,customer,it says in transit,it says in transit,it says in transit,361,what is the shipping status of your order
83,what is your membership level with us?,shipping_issue,manage,customer,gold,gold,gold,69,what is your membership level with us
84,"since the order has already shipped, i'm unable to cancel to order. however, i'll be able to refund you right away. once the shipment arrives, you'll need to contact us for a return shipping label.",shipping_issue,manage,customer,"ok, that sounds good",ok that sounds good,ok that sounds good,270,since the order has already shipped im unable to cancel to order however ill be able to refund you right away once the shipment arrives youll need to contact us for a return shipping label
85,you're welcome. what was the cost of your order?,shipping_issue,manage,customer,thank you,thank you,thank you,2,youre welcome what was the cost of your order
86,i've refunded your account $<amount>. is there anything else i can help you with?,shipping_issue,manage,customer,$<amount>,amount,amount,276,ive refunded your account amount is there anything else i can help you with
87,"alright, well enjoy your day!",shipping_issue,manage,customer,thanks for the help,thanks for the help,thanks for the help,86,alright well enjoy your day
88,thank you for contacting acme.  how may i help you today?,shipping_issue,status,customer,thats all i needed,thats all i needed,thats all i needed,99,thank you for contacting acme how may i help you today
89,"certainly, i can help you with that",shipping_issue,status,customer,"no, thanks again",no thanks again,no thanks again,88,certainly i can help you with that
90,"i'll just need to take a look at your account, may i ask your full name to begin with?",shipping_issue,status,customer,i would like to confirm my address is correct on my order. am i able to do that with you?,i would like to confirm my address is correct on my order am i able to do that with you,i would like to confirm my address is correct on my order am i able to do that with you,61,ill just need to take a look at your account may i ask your full name to begin with
91,"okay, i can see your account now",shipping_issue,status,customer,great! what do you need from me?,great what do you need from me,great what do you need from me,393,okay i can see your account now
92,"and to get your order details, may i ask your username, email address, and order id?",shipping_issue,status,customer,crystal minh,crystal minh,crystal minh,35,and to get your order details may i ask your username email address and order id
93,"i can see your order details, it looks like the order was placed and meant to be shipped to an address at 221b baker street in new york city, is this correct?",shipping_issue,status,customer,great!,great,great,31,i can see your order details it looks like the order was placed and meant to be shipped to an address at b baker street in new york city is this correct
94,"oh, i'm sorry to hear that, but i should be able to update your information",shipping_issue,status,customer,username: <username>,username username,username username,6,oh im sorry to hear that but i should be able to update your information
95,"do you know the status of your order?  is it ""order received"", ""in transit"", ""out for delivery"" or ""delivered""",shipping_issue,status,customer,email: <email>,email email,email email,43,do you know the status of your order is it order received in transit out for delivery or delivered
96,"okay, i can update your address in our systems.",shipping_issue,status,customer,order id <order_id>,order id order_id,order id order_id,124,okay i can update your address in our systems
97,"okay, your order will now be shipped to your address in newark",shipping_issue,status,customer,that is the wrong address.,that is the wrong address,that is the wrong address,285,okay your order will now be shipped to your address in newark
98,is there anything else i can help you with today?,shipping_issue,status,customer,great!,great,great,31,is there anything else i can help you with today
99,"oops, i hope i didn't lose you there.  but it looks like everything is taken care of, so have a great day, ms minh",shipping_issue,status,customer,"the correct address is: <street_address>, newark, mi <zip_code>",the correct address is street_address newark mi zip_code,the correct address is street_address newark mi zip_code,92,oops i hope i didnt lose you there but it looks like everything is taken care of so have a great day ms minh
100,"hello, it is not dry clean only. we use high quality fabric in our materials, so you can wash and dry them in a typical washer and dryer!",single_item_query,jacket_how_2,customer,"it says ""in transit",it says in transit,it says in transit,361,hello it is not dry clean only we use high quality fabric in our materials so you can wash and dry them in a typical washer and dryer
101,"i highly agree! especially with everything happening right now, you may not even be able to find one that is open!",single_item_query,jacket_how_2,customer,great thank you,great thank you,great thank you,248,i highly agree especially with everything happening right now you may not even be able to find one that is open
102,"anyway, is there anything else i can help you with?",single_item_query,jacket_how_2,customer,great thanks,great thanks,great thanks,248,anyway is there anything else i can help you with
103,"hello, i would have to direct you to our website, as our stock is very dynamic. if you do not see the color you like, i suggest checking back at the end of the month, when we refill the stock",single_item_query,jacket_how_2,customer,"hi, is this jacket dry clean only?",hi is this jacket dry clean only,hi is this jacket dry clean only,118,hello i would have to direct you to our website as our stock is very dynamic if you do not see the color you like i suggest checking back at the end of the month when we refill the stock
104,that sounds great! is there anything else i can help you with?,single_item_query,jacket_how_2,customer,great! it is a little inconvenient when one is not machine washable.,great it is a little inconvenient when one is not machine washable,great it is a little inconvenient when one is not machine washable,413,that sounds great is there anything else i can help you with
105,have a great day!,single_item_query,jacket_how_2,customer,do they come in different colors,do they come in different colors,do they come in different colors,373,have a great day
106,"hello, how can i help you today?",troubleshoot_site,credit_card,customer,"that's alright. i actually want it in red if you have it. but if not, i'll get this.",thats alright i actually want it in red if you have it but if not ill get this,thats alright i actually want it in red if you have it but if not ill get this,11,hello how can i help you today
107,"okay, let me see what i can do to help.",troubleshoot_site,credit_card,customer,this is good. thank you,this is good thank you,this is good thank you,248,okay let me see what i can do to help
108,can i ask one quick question first. what's the expiration date on your card?,troubleshoot_site,credit_card,customer,hi! my credit card keeps getting rejected,hi my credit card keeps getting rejected,hi my credit card keeps getting rejected,252,can i ask one quick question first whats the expiration date on your card
109,"okay, and just to be sure can you try entering your card information again just to be sure?",troubleshoot_site,credit_card,customer,ok,ok,ok,52,okay and just to be sure can you try entering your card information again just to be sure
110,"no worries, is there anything else i can do for you?",troubleshoot_site,credit_card,customer,5/21, 21, 21,79,no worries is there anything else i can do for you
111,then have a nice day!,troubleshoot_site,credit_card,customer,ok,ok,ok,52,then have a nice day
112,hi what can i do for you?,shipping_issue,status,customer,oh that worked. i must have entered a number or something wrong,oh that worked i must have entered a number or something wrong,oh that worked i must have entered a number or something wrong,87,hi what can i do for you
113,i can look into that,shipping_issue,status,customer,no thank you,no thank you,no thank you,342,i can look into that
114,can i have your name please?,shipping_issue,status,customer,"do you have my shipping address as  <street_address>  san mateo, ny <zip_code>",do you have my shipping address as street_address san mateo ny zip_code,do you have my shipping address as street_address san mateo ny zip_code,92,can i have your name please
115,so i cannot see your address on file,shipping_issue,status,customer,joseph banter,joseph banter,joseph banter,42,so i cannot see your address on file
116,did you feel there was a mistake or did you recently move and need to change it?,shipping_issue,status,customer,i didn't move got an email stating it was being shipped somewhere else,i didnt move got an email stating it was being shipped somewhere else,i didnt move got an email stating it was being shipped somewhere else,284,did you feel there was a mistake or did you recently move and need to change it
117,do you know the shipping status of that item?,shipping_issue,status,customer,says delivered,says delivered,says delivered,396,do you know the shipping status of that item
118,"okay, can i have yoru username, email address, and order id?",shipping_issue,status,customer,but i have not received it,but i have not received it,but i have not received it,432,okay can i have yoru username email address and order id
119,"and the address you gave me in the beginning, is the correct one?",shipping_issue,status,customer,<email>,email,email,43,and the address you gave me in the beginning is the correct one
120,okay your order has been updated and a new package will be shipped out to the correct address.,shipping_issue,status,customer,<order_id>,order_id,order_id,3,okay your order has been updated and a new package will be shipped out to the correct address
121,i am sorry about the mix up.,shipping_issue,status,customer, <username>,username,username,305,i am sorry about the mix up
122,is there anything else i can do fo ryou?,shipping_issue,status,customer,yes,yes,yes,183,is there anything else i can do fo ryou
123,"<street_address> san mateo, ny <zip_code>",shipping_issue,status,customer,ok ty,ok ty,ok ty,182,street_address san mateo ny zip_code
124,have a nice day,shipping_issue,status,customer,where has it been shipped to,where has it been shipped to,where has it been shipped to,374,have a nice day
125,hi! how may i help you today?,storewide_query,timing_2,customer,ok,ok,ok,52,hi how may i help you today
126,let me look that up for you.  one moment,storewide_query,timing_2,customer,ty,ty,ty,182,let me look that up for you one moment
127,most of our stores are open from 8am to 11pm and you can always shop online 24/7,storewide_query,timing_2,customer,good bye,good bye,good bye,98,most of our stores are open from am to pm and you can always shop online  7
128,yes it does,storewide_query,timing_2,customer,u too,u too,u too,30,yes it does
129,you're welcome! can i help with anything else today?,storewide_query,timing_2,customer,yes.     i really want to pick up a gift for a colleague on the way to work.    how early does your local store open?,yes i really want to pick up a gift for a colleague on the way to work how early does your local store open,yes i really want to pick up a gift for a colleague on the way to work how early does your local store open,154,youre welcome can i help with anything else today
130,great! enjoy the rest of your day,storewide_query,timing_2,customer,can you confirm the store in monterey opens at 8am?   i want to bring the gift in tomorrow.,can you confirm the store in monterey opens at am i want to bring the gift in tomorrow,can you confirm the store in monterey opens at am i want to bring the gift in tomorrow,381,great enjoy the rest of your day
131,thank you for contacting acmebrands. how can i help today?,troubleshoot_site,slow_speed,customer,thank you,thank you,thank you,2,thank you for contacting acmebrands how can i help today
132,"this is the first i've heard of this issue today, let's see if we can troubleshoot.",troubleshoot_site,slow_speed,customer,no.   just very glad i can pickup a gift.,no just very glad i can pickup a gift,no just very glad i can pickup a gift,209,this is the first ive heard of this issue today lets see if we can troubleshoot
133,can you try logging out of your account and logging back in?,troubleshoot_site,slow_speed,customer,the website is running terribly slow today.  what is going on,the website is running terribly slow today what is going on,the website is running terribly slow today what is going on,260,can you try logging out of your account and logging back in
134,"ok, can you try to visit another website and see if that site is slow as well or if it is just our site?",troubleshoot_site,slow_speed,customer,let me try that,let me try that,let me try that,16,ok can you try to visit another website and see if that site is slow as well or if it is just our site
135,"ok, i will write a report about the slow speeds to send to our website team to fix.",troubleshoot_site,slow_speed,customer,i have tried that and it does not seem to be helping,i have tried that and it does not seem to be helping,i have tried that and it does not seem to be helping,0,ok i will write a report about the slow speeds to send to our website team to fix
136,is there anything else i can help with today?,troubleshoot_site,slow_speed,customer,let me try that,let me try that,let me try that,16,is there anything else i can help with today
137,"ok, thank you and have a fantastic day!",troubleshoot_site,slow_speed,customer,just seems to be your site,just seems to be your site,just seems to be your site,298,ok thank you and have a fantastic day
138,hi! how can i help you today?,order_issue,status_quantity,customer,thank you!,thank you,thank you,2,hi how can i help you today
139,"no problem, one moment",order_issue,status_quantity,customer,no that is it,no that is it,no that is it,227,no problem one moment
140,what is your full name or account id?,order_issue,status_quantity,customer,hi,hi,hi,84,what is your full name or account id
141,"great, and the order id?",order_issue,status_quantity,customer,"i want to check the status of my order, i ordered one item email confirmation said i ordered two",i want to check the status of my order i ordered one item email confirmation said i ordered two,i want to check the status of my order i ordered one item email confirmation said i ordered two,367,great and the order id
142,"according to the system, you only are going to receive one item. the email was an error.",order_issue,status_quantity,customer,sanya afzal,sanya afzal,sanya afzal,33,according to the system you only are going to receive one item the email was an error
143,is there anything else i can do for you today?,order_issue,status_quantity,customer,account id: <account_id>,account id account_id,account id account_id,7,is there anything else i can do for you today
144,"great, have a good day!",order_issue,status_quantity,customer,order id: <order_id>,order id order_id,order id order_id,124,great have a good day
145,"good afternoon, how can i help you?",purchase_dispute,mistimed_billing_already_returned,customer,"all right, thanks for your help",all right thanks for your help,all right thanks for your help,326,good afternoon how can i help you
146,"sir, are you there?",purchase_dispute,mistimed_billing_already_returned,customer,"no, that is all, thank you",no that is all thank you,no that is all thank you,164,sir are you there
147,"i see, one moment please",purchase_dispute,mistimed_billing_already_returned,customer,"hi, i had a return but you guys never refunded me and the account says my return is complete",hi i had a return but you guys never refunded me and the account says my return is complete,hi i had a return but you guys never refunded me and the account says my return is complete,284,i see one moment please
148,"ok, sorry for the delay",purchase_dispute,mistimed_billing_already_returned,customer,ok,ok,ok,52,ok sorry for the delay
149,would you give me your full name or account id.,purchase_dispute,mistimed_billing_already_returned,customer,its fine,its fine,its fine,204,would you give me your full name or account id
150,"now could you give me your username, email and order id",purchase_dispute,mistimed_billing_already_returned,customer,david williams,david williams,david williams,44,now could you give me your username email and order id
151,please,purchase_dispute,mistimed_billing_already_returned,customer,username: <username>,username username,username username,6,please
152,"ok everything in order, mr. david how long ago did you do the refund?",purchase_dispute,mistimed_billing_already_returned,customer,<email>,email,email,43,ok everything in order mr david how long ago did you do the refund
153,"ok, i'm sorry you waited so long mr. david.",purchase_dispute,mistimed_billing_already_returned,customer,<order_id>,order_id,order_id,3,ok im sorry you waited so long mr david
154,we will resolve the situation now.,purchase_dispute,mistimed_billing_already_returned,customer,2 weeks,weeks,weeks,223,we will resolve the situation now
155,all set mr. david,purchase_dispute,mistimed_billing_already_returned,customer,ok great,ok great,ok great,31,all set mr david
156,again sorry for the inconvenience.,purchase_dispute,mistimed_billing_already_returned,customer,its ok,its ok,its ok,52,again sorry for the inconvenience
157,have a nice day!,purchase_dispute,mistimed_billing_already_returned,customer,ok gteat thanks so much!,ok gteat thanks so much,ok gteat thanks so much,54,have a nice day
158,with this you already have your credit back.,purchase_dispute,mistimed_billing_already_returned,customer,great,great,great,31,with this you already have your credit back
159,bye!,purchase_dispute,mistimed_billing_already_returned,customer,no proble.  you too,no proble you too,no proble you too,88,bye
160,welcome,single_item_query,jeans_how_4,customer,bye,bye,bye,98,welcome
161,ok. give me a moment to find the information,single_item_query,jeans_how_4,customer,"hi, i am trying to find out more about <name> you have for $<amount>",hi i am trying to find out more about name you have for amount,hi i am trying to find out more about name you have for amount,199,ok give me a moment to find the information
162,"this depends on your membership level. tailoring is free for bronze, silver or gold members. tailoring is also free for guests if you have bought at least 3 pairs of jeans and have their receipts.",single_item_query,jeans_how_4,customer,i need to know how much is would cost to have them tailored,i need to know how much is would cost to have them tailored,i need to know how much is would cost to have them tailored,195,this depends on your membership level tailoring is free for bronze silver or gold members tailoring is also free for guests if you have bought at least pairs of jeans and have their receipts
163,otherwise tailoring is $15 per pair and it comes with free consultation,single_item_query,jeans_how_4,customer,ok no problem,ok no problem,ok no problem,416,otherwise tailoring is 15 per pair and it comes with free consultation
164,since you are a bronze member. tailoring is free for you,single_item_query,jeans_how_4,customer,i am bronze,i am bronze,i am bronze,18,since you are a bronze member tailoring is free for you
165,would that be all for today?,single_item_query,jeans_how_4,customer,that will be perfect,that will be perfect,that will be perfect,364,would that be all for today
166,"good afternoon, how can i help you?",subscription_inquiry,status_due_date,customer,i am happy to hear they are free thank you,i am happy to hear they are free thank you,i am happy to hear they are free thank you,369,good afternoon how can i help you
167,"sure, one moment please",subscription_inquiry,status_due_date,customer,yes thats it thank you,yes thats it thank you,yes thats it thank you,339,sure one moment please
168,could you give me your full name or account id,subscription_inquiry,status_due_date,customer,hello,hello,hello,23,could you give me your full name or account id
169,additional to this would give me the order id,subscription_inquiry,status_due_date,customer,i want to know the status of my subscription if its still active,i want to know the status of my subscription if its still active,i want to know the status of my subscription if its still active,199,additional to this would give me the order id
170,"ok everything in order, let me check with the system",subscription_inquiry,status_due_date,customer, chloe zhang,chloe zhang,chloe zhang,9,ok everything in order let me check with the system
171,"ok, your account is currently active.",subscription_inquiry,status_due_date,customer,account id: <account_id>,account id account_id,account id account_id,7,ok your account is currently active
172,i will also send you a link with information relevant to this topic.,subscription_inquiry,status_due_date,customer,order id is <order_id>,order id is order_id,order id is order_id,124,i will also send you a link with information relevant to this topic
173,a pleasure to help you,subscription_inquiry,status_due_date,customer,thanks,thanks,thanks,41,a pleasure to help you
174,have a nice day,subscription_inquiry,status_due_date,customer,hi i would like to return an item,hi i would like to return an item,hi i would like to return an item,397,have a nice day
175,"okay, i can help you with that. may i have your full name?",product_defect,return_size,customer,joyce wu,joyce wu,joyce wu,40,okay i can help you with that may i have your full name
176,is there a problem with the item you would like to return?,product_defect,return_size,customer,i ordered the wrong size,i ordered the wrong size,i ordered the wrong size,74,is there a problem with the item you would like to return
177,"may i get your username, email address, and order id in order to validate your purchase?",product_defect,return_size,customer, <username> <email> <order_id>,username email order_id,username email order_id,283,may i get your username email address and order id in order to validate your purchase
178,"thanks! now, what is your membership level?",product_defect,return_size,customer,silver,silver,silver,51,thanks now what is your membership level
179,when did you purchase the item?,product_defect,return_size,customer,2020-03-06, 03 06, 03 06,188,when did you purchase the item
